Coin,Price,Time
BTC/USDT,48438.4,2021-12-21 19:00:56.886717+00:00
ETH/USDT,3987.82,2021-12-21 19:00:58.487095+00:00
ADA/USDT,1.257843,2021-12-21 19:01:00.452838+00:00
CRO/USDT,0.5168,2021-12-21 19:01:02.040724+00:00
SOL/USDT,177.96,2021-12-21 19:01:03.371482+00:00
UNI/USDT,14.7519,2021-12-21 19:01:05.813406+00:00
ZEC/USDT,158.908,2021-12-21 19:01:08.228358+00:00
XMR/USDT,187.51,2021-12-21 19:01:11.918097+00:00
FIL/USDT,34.9411,2021-12-21 19:01:16.369533+00:00
BTC/USDT,48523.6,2021-12-22 19:00:57.755209+00:00
ETH/USDT,3975.14,2021-12-22 19:00:59.742709+00:00
ADA/USDT,1.324608,2021-12-22 19:01:01.932763+00:00
CRO/USDT,0.5377,2021-12-22 19:01:05.062860+00:00
SOL/USDT,180.2,2021-12-22 19:01:06.904215+00:00
UNI/USDT,15.4815,2021-12-22 19:01:10.860573+00:00
ZEC/USDT,165.485,2021-12-22 19:01:15.013675+00:00
XMR/USDT,191.64,2021-12-22 19:01:19.689041+00:00
FIL/USDT,35.6879,2021-12-22 19:01:21.849920+00:00
BTC/USDT,50640.9,2021-12-23 19:00:53.338824+00:00
ETH/USDT,4099.21,2021-12-23 19:00:54.857441+00:00
ADA/USDT,1.441964,2021-12-23 19:00:56.189311+00:00
CRO/USDT,0.5942,2021-12-23 19:00:57.427783+00:00
SOL/USDT,190.171,2021-12-23 19:00:58.655844+00:00
UNI/USDT,17.8564,2021-12-23 19:01:00.325414+00:00
ZEC/USDT,166.899,2021-12-23 19:01:02.796431+00:00
XMR/USDT,209.44,2021-12-23 19:01:05.249457+00:00
FIL/USDT,37.4979,2021-12-23 19:01:07.581547+00:00
BTC/USDT,51664.7,2021-12-24 19:00:54.489412+00:00
ETH/USDT,4127.6,2021-12-24 19:00:56.582736+00:00
ADA/USDT,1.444066,2021-12-24 19:00:58.180719+00:00
CRO/USDT,0.6838,2021-12-24 19:00:59.653395+00:00
SOL/USDT,196.916,2021-12-24 19:01:00.866051+00:00
UNI/USDT,18.2108,2021-12-24 19:01:02.634826+00:00
ZEC/USDT,168.577,2021-12-24 19:01:04.871652+00:00
XMR/USDT,205.16,2021-12-24 19:01:08.557381+00:00
FIL/USDT,36.8679,2021-12-24 19:01:11.777324+00:00
BTC/USDT,51022.7,2021-12-25 19:00:49.709595+00:00
ETH/USDT,4081.78,2021-12-25 19:00:52.150220+00:00
ADA/USDT,1.441418,2021-12-25 19:00:55.141148+00:00
CRO/USDT,0.6592,2021-12-25 19:00:56.597357+00:00
SOL/USDT,191.966,2021-12-25 19:00:58.660197+00:00
UNI/USDT,17.3229,2021-12-25 19:01:00.231947+00:00
ZEC/USDT,169.361,2021-12-25 19:01:01.474747+00:00
XMR/USDT,214.28,2021-12-25 19:01:02.970143+00:00
FIL/USDT,36.7957,2021-12-25 19:01:04.789480+00:00
BTC/USDT,50371.7,2021-12-26 19:00:54.552503+00:00
ETH/USDT,4078.67,2021-12-26 19:00:55.801048+00:00
ADA/USDT,1.464526,2021-12-26 19:00:56.994639+00:00
CRO/USDT,0.6311,2021-12-26 19:00:58.200516+00:00
SOL/USDT,198.951,2021-12-26 19:00:59.445952+00:00
UNI/USDT,17.9327,2021-12-26 19:01:00.709657+00:00
ZEC/USDT,167.796,2021-12-26 19:01:02.073290+00:00
XMR/USDT,214.57,2021-12-26 19:01:04.126761+00:00
FIL/USDT,36.9729,2021-12-26 19:01:05.428715+00:00
BTC/USDT,51667.7,2021-12-27 19:00:54.129493+00:00
ETH/USDT,4095.75,2021-12-27 19:00:55.354461+00:00
ADA/USDT,1.558932,2021-12-27 19:00:57.033456+00:00
CRO/USDT,0.6435,2021-12-27 19:00:58.493454+00:00
SOL/USDT,202.478,2021-12-27 19:00:59.964585+00:00
UNI/USDT,19.6166,2021-12-27 19:01:01.448598+00:00
ZEC/USDT,170.482,2021-12-27 19:01:03.664344+00:00
XMR/USDT,235.82,2021-12-27 19:01:05.010224+00:00
FIL/USDT,40.7285,2021-12-27 19:01:06.591379+00:00
BTC/USDT,47737.7,2021-12-28 19:00:50.309588+00:00
ETH/USDT,3795.46,2021-12-28 19:00:51.566272+00:00
ADA/USDT,1.404199,2021-12-28 19:00:52.780485+00:00
CRO/USDT,0.5601,2021-12-28 19:00:54.021082+00:00
SOL/USDT,178.944,2021-12-28 19:00:55.243735+00:00
UNI/USDT,18.4957,2021-12-28 19:00:56.446413+00:00
ZEC/USDT,154.346,2021-12-28 19:00:57.647676+00:00
XMR/USDT,210.67,2021-12-28 19:00:59.114825+00:00
FIL/USDT,36.3246,2021-12-28 19:01:00.355290+00:00
BTC/USDT,47545.9,2021-12-29 19:00:50.161489+00:00
ETH/USDT,3754.15,2021-12-29 19:00:52.217426+00:00
ADA/USDT,1.373197,2021-12-29 19:00:53.699144+00:00
